comparison,city,population_method,difference_m,cells,allocated_population,F_cells,F_allocated_population
p90_minus_mean,Both,all,-0.309280603833,1,4226.65190098,0.0277823714238,0.0237463743326
p90_minus_mean,Both,all,-0.30291632883,1,1594.79364566,0.0279477426823,0.0240079189661
p90_minus_mean,Both,all,-0.292217882036,1,2803.14373947,0.0281131139408,0.02446763186
p90_minus_mean,Both,all,-0.279998141325,1,92.4989294407,0.0282784851993,0.024482801596
p90_minus_mean,Both,all,-0.26440428566,1,0.42383337865,0.0284438564577,0.0244828711042
p90_minus_mean,Both,all,-0.257392578643,1,961.904906683,0.0286092277162,0.0246406225895
p90_minus_mean,Both,all,-0.255614874187,1,1714.3455951,0.0287745989747,0.0249217736284
p90_minus_mean,Both,all,-0.23734466495,1,154.81170338,0.0289399702332,0.0249471625998
p90_minus_mean,Both,all,-0.236878943667,1,61.1856505717,0.0291053414916,0.024957196988
p90_minus_mean,Both,all,-0.216310758108,1,1661.02449401,0.0292707127501,0.0252296034173
p90_minus_mean,Both,all,-0.210723403347,1,21.0130275772,0.0294360840086,0.0252330495338
p90_minus_mean,Both,all,-0.207568388396,1,1.28869391055,0.0296014552671,0.0252332608783
p90_minus_mean,Both,all,-0.163543599208,1,84.6895427728,0.0297668265255,0.0252471498824
p90_minus_mean,Both,all,-0.161858777275,1,1057.61951725,0.029932197784,0.0254205984723
p90_minus_mean,Both,all,-0.156073460052,1,45.6701271855,0.0300975690425,0.0254280883295
p90_minus_mean,Both,all,-0.153532143076,1,585.931941303,0.030262940301,0.0255241806078
p90_minus_mean,Both,all,-0.149918839521,1,1144.01529674,0.0304283115595,0.0257117980229
p90_minus_mean,Both,all,-0.129156114097,1,421.892763082,0.0305936828179,0.0257809880328
p90_minus_mean,Both,all,-0.0912636762147,1,36.4436021023,0.0307590540764,0.0257869647487
p90_minus_mean,Both,all,-0.0866979191825,1,104.663678674,0.0309244253349,0.025804129492
p90_minus_mean,Both,all,-0.0730416740384,1,70.1895857577,0.0310897965934,0.025815640517
p90_minus_mean,Both,all,-0.072322225729,1,1204.34947563,0.0312551678518,0.0260131526798
p90_minus_mean,Both,all,-0.0639997857506,1,9.32486834374,0.0314205391103,0.0260146819493
p90_minus_mean,Both,all,-0.0611577939774,1,427.606216194,0.0315859103688,0.02608480896
p90_minus_mean,Both,all,-0.057275667349,1,280.692888492,0.0317512816273,0.0261308423254
p90_minus_mean,Both,all,-0.0531694853372,1,2878.74152802,0.0319166528857,0.0266029531843
p90_minus_mean,Both,all,-0.051209088941,1,3340.43611781,0.0320820241442,0.0271507815147
p90_minus_mean,Both,all,-0.0401049251823,1,150.291211396,0.0322473954027,0.0271754291297
p90_minus_mean,Both,all,-0.0191590632496,1,125.340920052,0.0324127666612,0.0271959849208
p90_minus_mean,Both,all,-0.0160017415482,1,114.935900888,0.0325781379196,0.0272148342987
p90_minus_mean,Both,all,-0.0158696780317,1,1490.8204043,0.0327435091781,0.0274593274199
p90_minus_mean,Both,all,-0.0116682302691,1,102.908469096,0.0329088804366,0.0274762043105
p90_minus_mean,Both,all,-0.0106021744373,1,68.6919097795,0.0330742516951,0.0274874697181
p90_minus_mean,Both,all,-0.00936816362466,1,432.175498907,0.0332396229535,0.0275583460868
p90_minus_mean,Both,all,-0.00630969975765,1,38.844651751,0.033404994212,0.0275647165725
p90_minus_mean,Both,all,-0.00447740321098,1,1725.15239317,0.0335703654705,0.027847639916
